Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der Bevölkerung;Siedlungsdichte in km²;Studierende je 100 Einwohner 18 bis 25 Jahre;Gesamtwanderungssaldo;Haushalte mit hohem Einkommen;Erreichbarkeit von Oberzentren;Bevölkerung gesamt
"031515402";"Brome";"Gemeindeverband";"42.56";"892.76";"0.00";"7.05";"26.25";"19.18";"15324"
"031515403";"Hankensbüttel";"Gemeindeverband";"44.90";"443.27";"0.00";"3.01";"18.69";"40.74";"8965"
"031515404";"Isenbüttel";"Gemeindeverband";"41.73";"1318.23";"0.00";"-2.42";"26.64";"19.12";"15292"
"031515405";"Meinersen";"Gemeindeverband";"42.03";"1071.22";"0.00";"-0.54";"22.66";"30.98";"20402"
"031515406";"Papenteich";"Gemeindeverband";"42.60";"1474.37";"0.00";"6.94";"29.56";"15.07";"23629"
"031515407";"Wesendorf";"Gemeindeverband";"41.38";"790.58";"0.00";"1.97";"17.99";"35.10";"14227"
"031519501";"Giebel. gemfr Gebiet";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"14.91";"0"
"031530002";"Bad Harzburg. Stadt";"verbandsfreie Gemeinde";"50.91";"1644.39";"0.00";"3.18";"19.76";"30.75";"21680"
"031530007";"Langelsheim. Stadt";"verbandsfreie Gemeinde";"47.25";"1256.34";"0.00";"5.08";"19.01";"31.28";"11805"
"031530008";"Liebenburg";"verbandsfreie Gemeinde";"46.28";"1027.84";"0.00";"-3.26";"22.76";"23.64";"8274"
"031530012";"Seesen. Stadt";"verbandsfreie Gemeinde";"46.46";"1176.25";"0.00";"-2.84";"19.54";"27.76";"19386"
"031530016";"Braunlage. Stadt";"verbandsfreie Gemeinde";"50.86";"1037.56";"0.00";"9.87";"17.31";"56.47";"6082"
"031530017";"Goslar. Stadt";"verbandsfreie Gemeinde";"47.12";"1673.90";"0.00";"1.68";"19.28";"34.02";"50681"
"031530018";"Clausthal-Zellerfeld. Berg- und Universitätsstadt";"verbandsfreie Gemeinde";"42.66";"1486.88";"192.14";"13.76";"15.38";"48.38";"15769"
"031535401";"Lutter am Barenberge";"Gemeindeverband";"46.03";"811.49";"0.00";"7.94";"20.35";"26.72";"4156"
"031539504";"Harz (Landkreis Goslar). gemfr Gebiet";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"43.04";"0"
"031540013";"Königslutter am Elm. Stadt";"verbandsfreie Gemeinde";"45.25";"1029.83";"0.00";"9.81";"21.10";"21.68";"15699"
"031540014";"Lehre";"verbandsfreie Gemeinde";"44.48";"1351.99";"0.00";"6.43";"26.76";"14.72";"11505"
